brand
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 8"
"Detail léku  IMODIUM, 2MG CPS DUR 8"
"Detail léku  IMODIUM, 2MG CPS DUR 12"
"Detail léku  IMODIUM, 2MG CPS DUR 25"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM, 2MG CPS DUR 20"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 6 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 12 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 10 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 8 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 6 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 20 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 18 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 15 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 16 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 18 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 20 I"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 8 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 10 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 12 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 15 II"
"Detail léku  IMODIUM PLUS, 2MG/125MG TBL NOB 16 II"
"Detail léku  IMODIUM RAPID, 2MG POR TBL DIS 18"
"Detail léku  IMODIUM RAPID, 2MG POR TBL DIS 24"
"Detail léku  IMODIUM RAPID, 2MG POR TBL DIS 12"
"Detail léku  IMODIUM RAPID, 2MG POR TBL DIS 6"
"Detail léku  LOPACUT, 2MG TBL FLM 10"
"Detail léku  LOPACUT, 2MG TBL FLM 8"
"Detail léku  LOPERAMID DR.MAX, 2MG CPS DUR 12"
"Detail léku  LOPERAMID DR.MAX, 2MG CPS DUR 18"
"Detail léku  LOPERAMID DR.MAX, 2MG CPS DUR 20"
"Detail léku  LOPERAMID DR.MAX, 2MG CPS DUR 8"
